2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Application starting...
2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Look and feel set successfully.
2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Application started successfully.
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-1PMP-601, Point Description: J460-02-1PMP-601 - Chilled water Circulation pump - Controller, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-1PMP-601, Point Description: J460-02-2XA-601 - Chilled water Circulation pump J460-02-1PMP-601 - Alarm, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-1PMP-601, Point Description: J460-02-2SS-601 - Chilled water Circulation pump J460-02-1PMP-601 - Status, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-1PMP-601, Point Description: J460-02-2SC-601 - Chilled water Circulation pump J460-02-1PMP-601 - Control Signal, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-1PMP-601, Point Description: J460-02-2XS-601 - Chilled water Circulation pump J460-02-1PMP-601 - Enable, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-1PMP-601, Point Description: J460-02-2HSI-601 - Chilled water Circulation pump J460-02-1PMP-601 - Maintanance Switch, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2PT-902, Point Description: J460-02-2PT-902 - Exhaust Duct J460-02-2B-902- Pressure, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2B-902, Point Description: J460-02-2XC-902 - Exhaust Fan J460-02-2B-902 - Control Signal, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2B-902, Point Description: J460-02-2XA-902 - Exhaust Fan J460-02-2B-902 - Alarm, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2B-902, Point Description: J460-02-2HSI-902 - Exhaust Fan J460-02-2B-902- Maintanace Switch, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TC-601, Point Description: J460-01-2TC-601 - Room J6.02 - Room Controller, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-601, Point Description: J460-01-2FCV-601 - Room J6.02 - Reheater Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TC-602, Point Description: J460-01-2TC-602 - Room J6.03 - Room Controller, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-602, Point Description: J460-01-2FCV-602 - Room J6.03 - Reheater Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TC-603, Point Description: J460-01-2TC-603 - Room J6.06 - Room Controller, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-603, Point Description: J460-01-2FCV-603 - Room J6.06 - J460-01-1ACU-601 Heating Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-604, Point Description: J460-01-2FCV-604 - Room J6.06 - J460-01-1ACU-602 Heating Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-605, Point Description: J460-01-2FCV-605 - Room J6.06 - J460-01-1ACU-603 Heating Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-606, Point Description: J460-01-2FCV-606 - Room J6.06 - J460-01-1ACU-604 Heating Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-607, Point Description: J460-01-2FCV-607 - Room J6.06 - J460-01-1ACU-601 Cooling Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-608, Point Description: J460-01-2FCV-608 - Room J6.06 - J460-01-1ACU-602 Cooling Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-609, Point Description: J460-01-2FCV-609 - Room J6.06 - J460-01-1ACU-603 Cooling Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-610, Point Description: J460-01-2FCV-610 - Room J6.06 - J460-01-1ACU-604 Cooling Valve Control, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1VAV-601, Point Description: J460-01-2FC-601 - Room J6.06 - Return Air Flow Control., standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1VAV-602, Point Description: J460-01-2FC-602 - Room J6.06 - Return Air Flow Control., standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1VAV-603, Point Description: J460-01-2FC-603 - Room J6.06 - Supply Air Flow Control., standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1VAV-604, Point Description: J460-01-2FC-604 - Room J6.06 - Return Air Flow Control., standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TC-612, Point Description: J460-01-2TC-612 - Room J6.04 - MDF Room Controller, standardDeviceTag: null
